TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AZEV3;6,90;;-1,12;-569,22;2.144,00;1.622,59;3.562,68;5.901,50;-1,86;-1,52;0,00;;;-1.157,98;-5.690,13;0,25;-50.725,37;-191.061,17;50.838,86;-3,77;4,77;-32,38;-38,42;;1.420.843,00;-0,01;-6,15;-0,02;111.408.000,00
AZEV4;4,99;;-0,81;-411,65;1.550,52;1.622,59;3.562,68;5.901,50;-1,34;-1,52;0,00;;;-837,44;-4.115,04;0,25;-50.725,37;-191.061,17;50.838,86;-3,77;4,77;-32,38;-38,42;;1.912.488,27;-0,01;-6,15;-0,02;111.408.000,00
AZUL4;39,48;;-6,66;-2,94;3,28;-3,66;-37,84;-156,71;-27,59;-30,64;-3,04;;10,44;-8,75;-4,68;0,45;-44,18;-49,17;19,84;-1,11;2,11;0,31;-1,70;;235.058.227,88;-13,41;-5,93;0,47;49.768.874.193,36
B3SA3;53,30;4,87;24,83;4,47;2,36;90,38;61,43;44,64;18,04;16,63;-1,42;-0,35;11,08;14,75;-3,71;1,78;18,00;9,49;13,99;0,53;0,47;0,21;33,29;13,50;632.092.705,46;11,92;2,15;0,62;108.838.600.000,00
BAHI3;76,50;;-4,03;0,99;0,31;38,67;-11,71;-23,37;-8,05;-8,43;-0,38;0,05;0,94;-1,94;-0,34;0,40;-24,59;-7,61;-12,58;0,31;0,69;0,33;;;41.951,28;77,13;-18,96;-0,01;185.058.855,00
BALM3;18,01;3,33;10,36;1,46;0,82;50,03;10,60;10,45;10,22;8,67;-0,75;-0,11;1,08;2,65;-2,09;2,05;14,05;7,94;8,91;0,57;0,43;0,76;7,78;1,84;80.524,10;12,37;1,74;0,06;162.729.000,00
BALM4;15,20;4,41;8,75;1,23;0,69;50,03;10,60;10,45;8,63;8,67;-0,75;-0,11;0,91;2,24;-1,76;2,05;14,05;7,94;8,91;0,57;0,43;0,76;7,78;1,84;84.331,32;12,37;1,74;0,05;162.729.000,00
BAUH4;83,80;;20,36;4,65;3,04;21,72;11,40;11,43;20,41;19,50;-0,91;-0,21;2,33;64,25;-4,84;1,15;22,84;14,95;16,51;0,65;0,35;1,31;10,90;33,53;71.276,05;18,02;4,12;0,44;437.622.203,60
BAZA3;38,51;6,75;4,30;0,47;0,05;37,94;42,64;27,94;2,82;2,82;;;1,20;2,27;-0,06;;10,99;1,28;;0,12;0,88;0,05;-8,12;1,30;80.181,50;81,52;8,96;-1,21;1.141.666.189,17
BBAS3;30,33;4,74;6,45;0,68;0,05;28,46;11,98;12,78;6,88;6,88;;;0,82;1,50;-0,05;13,92;10,57;0,71;;0,07;0,93;0,06;-11,56;-3,39;467.180.643,92;44,53;4,70;-0,25;86.908.098.216,60
BBDC3;21,47;2,81;10,80;1,45;0,15;36,57;20,60;22,22;11,65;12,51;;;2,40;1,98;-0,17;6,19;13,39;1,39;;0,10;0,90;0,06;-3,00;-2,54;116.281.568,69;14,84;1,99;3,47;224.038.384.441,09
BBDC4;24,64;2,70;12,40;1,66;0,17;36,57;20,60;22,22;13,37;12,51;;;2,76;2,27;-0,19;6,19;13,39;1,39;;0,10;0,90;0,06;-3,00;-2,54;929.998.832,08;14,84;1,99;3,99;224.038.384.441,09
BBML3;3.936,42;0,01;14.941,03;1.266,22;175,86;12,27;3,44;1,00;4.341,93;4.349,43;7,50;2,19;149,41;2.692,28;-320,05;1,17;8,47;1,18;6,61;0,14;0,86;1,18;45,38;25,57;;3,11;0,26;581,24;160.451.699.191,56
BBRK3;2,16;;-0,95;-4,06;0,83;62,65;-171,31;-175,32;-0,97;-0,76;0,22;;1,67;-7,31;-1,14;0,71;-426,12;-86,80;418,72;-0,20;1,20;0,50;-9,38;;1.969.061,12;-0,53;-2,27;-0,01;169.628.739,84
BBSE3;22,79;5,93;11,55;6,36;4,41;;;;9,28;9,28;;;;25,68;-6,44;2,20;55,06;38,17;;0,69;0,31;0,00;;-1,76;158.627.423,69;3,58;1,97;-0,29;45.580.000.000,00
BDLL3;11,75;;-0,29;-0,12;0,03;-86,74;-295,31;-321,27;-0,31;-4,32;-4,04;;0,92;-0,08;-0,05;0,52;-40,12;-9,88;-86,38;-0,25;1,25;0,03;-46,07;;211.196,58;-101,97;-40,91;0,00;16.903.736,72
BDLL4;9,84;;-0,24;-0,10;0,02;-86,74;-295,31;-321,27;-0,26;-4,32;-4,04;;0,77;-0,07;-0,04;0,52;-40,12;-9,88;-86,38;-0,25;1,25;0,03;-46,07;;157.042,81;-101,97;-40,91;0,00;16.903.736,72
BEEF3;10,33;9,97;8,28;5,60;0,31;19,14;8,97;3,26;3,01;5,86;2,85;5,31;0,27;0,97;-0,97;1,90;67,61;3,77;14,26;0,06;0,94;1,16;15,30;;122.190.306,77;1,84;1,25;0,07;5.677.654.337,27
BEES3;5,11;3,92;6,96;0,94;0,05;50,63;23,67;14,58;4,29;4,42;;;1,02;0,78;-0,06;;13,52;0,76;;0,06;0,94;0,05;-7,16;7,23;318.311,62;5,43;0,73;0,90;1.665.064.874,60
BEES4;5,71;3,51;7,78;1,05;0,06;50,63;23,67;14,58;4,79;4,42;;;1,13;0,87;-0,06;;13,52;0,76;;0,06;0,94;0,05;-7,16;7,23;24.299,42;5,43;0,73;1,01;1.665.064.874,60
BFRE11;0,00;;0,00;0,00;0,00;;;;0,00;;-16,29;-0,33;;0,00;0,00;13,21;4,76;4,56;-0,40;0,96;0,04;0,00;;-3,40;;256.545,33;12.220,36;0,00;
BFRE12;0,00;;0,00;0,00;0,00;;;;0,00;;-16,29;-0,33;;0,00;0,00;13,21;4,76;4,56;-0,40;0,96;0,04;0,00;;-3,40;;256.545,33;12.220,36;0,00;
BGIP3;39,38;2,52;11,08;1,23;0,09;71,66;12,77;8,57;7,44;5,86;;;0,95;-0,57;-0,18;0,77;11,14;0,80;;0,07;0,93;0,09;0,74;14,88;20.166,45;31,91;3,56;-0,32;474.296.342,70
BGIP4;22,68;4,81;6,38;0,71;0,05;71,66;12,77;8,57;4,28;5,86;;;0,55;-0,33;-0,11;0,77;11,14;0,80;;0,07;0,93;0,09;0,74;14,88;21.507,73;31,91;3,56;-0,18;474.296.342,70
BIDI11;199,75;0,07;-7.072,29;15,41;2,58;57,47;-9,54;-0,77;-573,02;-573,02;;;54,68;-27,72;-4,84;0,83;-0,22;-0,04;;0,17;0,83;0,05;14,14;;355.565.901,12;12,96;-0,03;64,81;50.899.272.612,92
BIDI3;65,79;0,07;-6.988,02;15,23;2,54;57,47;-9,54;-0,77;-566,19;-573,02;;;54,03;-27,39;-4,78;0,83;-0,22;-0,04;;0,17;0,83;0,05;14,14;;21.851.187,54;4,32;-0,01;64,04;50.899.272.612,92
BIDI4;66,84;0,07;-7.099,55;15,47;2,58;57,47;-9,54;-0,77;-575,22;-573,02;;;54,89;-27,82;-4,86;0,83;-0,22;-0,04;;0,17;0,83;0,05;14,14;;188.407.959,85;4,32;-0,01;65,06;50.899.272.612,92
BIOM3;15,80;;-15,12;5,59;2,46;23,75;-94,72;-120,62;-19,25;-20,08;-0,83;0,24;18,24;7,95;-4,57;3,03;-36,96;-16,27;-14,65;0,44;0,56;0,13;;;395.915,04;2,83;-1,05;-0,56;1.069.916.781,60
BKBR3;10,89;;-5,43;1,79;0,82;59,01;-20,55;-25,67;-6,78;-7,26;-0,48;0,13;1,39;7,73;-1,07;1,80;-32,90;-15,01;-19,86;0,46;0,54;0,58;18,70;;30.859.376,04;6,10;-2,01;0,00;2.998.620.817,83
BLAU3;42,30;;;;;;;;;;;;;;;;;;;;;;;;22.875.596,40;;0,00;;7.415.150.999,40
BMEB3;17,55;4,42;6,09;0,93;0,09;66,23;10,12;6,76;4,07;4,05;;;0,41;0,43;-0,17;1,71;15,29;1,41;;0,09;0,91;0,21;-9,42;12,08;9.642,94;18,85;2,88;0,18;917.119.805,98
BMEB4;17,41;4,90;6,04;0,92;0,09;66,23;10,12;6,76;4,03;4,05;;;0,41;0,43;-0,16;1,71;15,29;1,41;;0,09;0,91;0,21;-9,42;12,08;78.084,85;18,85;2,88;0,18;917.119.805,98
BMGB4;4,71;3,79;8,99;0,68;0,10;73,01;8,63;7,38;7,68;7,68;;;0,66;;-0,10;;7,60;1,06;;0,14;0,86;0,14;11,98;8,39;6.600.502,69;6,90;0,52;-0,51;2.747.024.655,81
BMIN3;22,31;;43,87;0,86;0,52;81,20;37,26;21,89;25,77;25,77;;;9,60;11,12;-0,71;1,21;1,96;1,19;;0,61;0,39;0,05;-1,79;-9,57;10.220,44;25,93;0,51;4,30;107.643.110,57
BMIN4;22,30;6,28;43,85;0,86;0,52;81,20;37,26;21,89;25,76;25,77;;;9,60;11,11;-0,71;1,21;1,96;1,19;;0,61;0,39;0,05;-1,79;-9,57;21.876,58;25,93;0,51;4,30;107.643.110,57
BMKS3;240,00;;31,34;0,57;0,50;31,27;6,38;15,98;78,46;-28,55;-107,01;-0,78;5,01;0,68;-2,14;31,67;1,83;1,61;-0,20;0,88;0,12;0,10;1,12;-20,41;23.557,48;418,81;7,66;1,06;109.140.000,00
BMOB3;20,36;;44,76;11,97;4,05;57,95;42,06;28,92;30,77;28,93;-1,85;-0,72;12,94;-23,34;-7,82;0,74;26,75;9,05;24,88;0,34;0,66;0,31;;;17.294.051,31;1,70;0,45;;1.850.909.113,12
BNBR3;68,79;4,08;5,83;0,96;0,10;57,57;40,13;25,83;3,75;3,75;;;1,51;1,78;-0,10;;16,51;1,65;;0,10;0,90;0,06;-9,48;27,23;14.375,92;71,46;11,80;-0,14;5.941.493.008,56
BOAS3;12,95;0,59;383,38;3,81;2,82;42,69;9,91;2,79;108,02;90,35;-17,67;-0,62;10,70;5,48;-7,00;7,24;0,99;0,74;1,90;0,74;0,26;0,26;;;13.855.397,19;3,40;0,03;-5,46;6.844.798.387,00
BOBR3;0,00;;0,00;0,00;0,00;37,35;11,13;3,47;0,00;4,42;1,93;;0,00;0,00;0,00;0,58;-16,30;5,92;500,50;-0,36;1,36;1,71;1,10;;;-0,94;0,15;0,00;319.525.601,20
BOBR4;2,60;;16,95;-2,76;1,00;37,35;11,13;3,47;5,28;4,42;1,93;;0,59;-3,28;-1,73;0,58;-16,30;5,92;500,50;-0,36;1,36;1,71;1,10;;484.393,81;-0,94;0,15;-0,09;319.525.601,20
BPAC11;112,33;1,08;31,92;3,92;0,41;-7,36;7,72;24,86;102,74;102,74;;;7,93;-7,50;-1,08;0,92;12,29;1,30;;0,11;0,89;0,05;2,49;41,61;369.243.335,54;28,63;3,52;-2,54;104.693.069.190,99
BPAC3;58,87;0,69;50,18;6,17;0,65;-7,36;7,72;24,86;161,53;102,74;;;12,47;-11,80;-1,69;0,92;12,29;1,30;;0,11;0,89;0,05;2,49;41,61;273.794,42;9,54;1,17;-3,99;104.693.069.190,99
BPAC5;26,66;1,52;22,73;2,79;0,29;-7,36;7,72;24,86;73,15;102,74;;;5,65;-5,34;-0,77;0,92;12,29;1,30;;0,11;0,89;0,05;2,49;41,61;179.140,62;9,54;1,17;-1,81;104.693.069.190,99
BPAN4;17,53;1,21;31,28;3,89;0,54;68,22;10,69;7,41;21,67;21,67;;;2,32;-3,11;-0,91;0,70;12,43;1,72;;0,14;0,86;0,23;4,82;34,24;117.973.392,38;4,51;0,56;-10,38;21.124.633.801,13
BPAR3;182,07;4,89;7,19;1,17;0,16;80,40;31,54;15,44;3,52;3,52;;;1,11;1,37;-0,19;;16,25;2,28;;0,14;0,86;0,15;3,12;3,40;;155,92;25,33;-0,28;1.733.606.633,43
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-24,79;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;64,85;7,63;15,38;2,01;2,00;;;;15,45;16,94;-0,04;-0,01;;59,38;-2,07;11,80;13,03;12,99;12,98;1,00;0,00;0,00;;;2.694.515,38;32,34;4,22;-0,03;24.806.047.518,65
BRAP4;74,75;7,29;17,73;2,31;2,30;;;;17,81;16,94;-0,04;-0,01;;68,44;-2,39;11,80;13,03;12,99;12,98;1,00;0,00;0,00;;;194.679.515,12;32,34;4,22;-0,04;24.806.047.518,65
BRDT3;23,60;10,55;7,04;2,25;0,97;5,47;5,60;4,79;6,02;7,16;1,14;0,43;0,34;4,29;-1,84;1,92;31,99;13,79;17,54;0,43;0,57;2,88;-3,48;;174.473.359,96;10,48;3,35;0,09;27.494.000.000,00
BRFS3;21,53;;12,64;1,98;0,35;24,00;7,21;3,51;6,14;11,24;5,10;1,65;0,44;2,34;-0,65;1,48;15,70;2,79;8,34;0,18;0,82;0,79;4,16;-14,99;163.937.114,96;10,85;1,70;0,03;17.492.548.986,38
BRGE11;9,00;4,04;16,13;0,37;0,22;-301,47;181,11;160,27;14,27;-18,92;-33,83;-0,87;25,85;0,51;-0,55;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;7.934,83;24,56;0,56;-0,89;692.573.730,68
BRGE12;6,29;;11,27;0,26;0,15;-301,47;181,11;160,27;9,97;-18,92;-33,83;-0,87;18,06;0,36;-0,39;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;5.709,73;24,56;0,56;-0,62;692.573.730,68
BRGE3;8,79;;15,75;0,36;0,21;-301,47;181,11;160,27;13,94;-18,92;-33,83;-0,87;25,24;0,50;-0,54;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;5.510,94;24,56;0,56;-0,87;692.573.730,68
BRGE5;10,15;2,99;18,19;0,41;0,25;-301,47;181,11;160,27;16,09;-18,92;-33,83;-0,87;29,15;0,58;-0,62;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;1.915,45;24,56;0,56;-1,01;692.573.730,68
BRGE6;14,51;5,01;26,00;0,59;0,35;-301,47;181,11;160,27;23,01;-18,92;-33,83;-0,87;41,67;0,83;-0,89;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;1.550,50;24,56;0,56;-1,44;692.573.730,68
BRGE7;5,40;7,86;9,68;0,22;0,13;-301,47;181,11;160,27;8,56;-18,92;-33,83;-0,87;15,51;0,31;-0,33;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;;24,56;0,56;-0,54;692.573.730,68
BRGE8;8,50;3,56;15,23;0,35;0,21;-301,47;181,11;160,27;13,48;-18,92;-33,83;-0,87;24,41;0,48;-0,52;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;2.445,00;24,56;0,56;-0,84;692.573.730,68
BRIV3;9,45;0,05;11,17;0,54;0,05;12,85;13,75;10,14;8,24;7,89;;;1,13;0,36;-0,06;99,82;4,81;0,46;;0,09;0,91;0,04;-14,49;-2,44;17.168,33;17,61;0,85;1,27;802.157.063,80
BRIV4;8,45;6,85;9,99;0,48;0,05;12,85;13,75;10,14;7,37;7,89;;;1,01;0,32;-0,05;99,82;4,81;0,46;;0,09;0,91;0,04;-14,49;-2,44;13.743,46;17,61;0,85;1,13;802.157.063,80
BRKM3;50,93;;-74,03;94,38;0,43;25,18;9,17;-0,80;6,45;10,57;4,10;59,89;0,59;6,48;-0,75;1,19;-127,49;-0,58;15,45;0,00;1,02;0,73;4,54;;1.985.692,38;0,54;-0,69;0,80;40.761.293.910,14
BRKM5;51,39;;-74,69;95,23;0,44;25,18;9,17;-0,80;6,51;10,57;4,10;59,89;0,60;6,54;-0,75;1,19;-127,49;-0,58;15,45;0,00;1,02;0,73;4,54;;220.971.496,08;0,54;-0,69;0,80;40.761.293.910,14
BRKM6;28,50;;-41,42;52,81;0,24;25,18;9,17;-0,80;3,61;10,57;4,10;59,89;0,33;3,63;-0,42;1,19;-127,49;-0,58;15,45;0,00;1,02;0,73;4,54;;26.286,62;0,54;-0,69;0,45;40.761.293.910,14
BRML3;10,67;;-31,70;0,83;0,49;87,67;-29,88;-32,11;-34,07;-43,00;-8,93;0,22;10,18;6,71;-0,54;4,01;-2,61;-1,53;-2,77;0,59;0,41;0,05;-7,67;;164.384.627,54;12,88;-0,34;0,26;9.316.418.023,11
BRPR3;9,13;2,16;21,86;0,62;0,41;100,00;108,20;64,18;12,96;18,21;5,25;0,25;14,03;7,48;-0,45;2,44;2,82;1,86;2,54;0,66;0,34;0,03;-15,19;;14.112.254,23;14,82;0,42;-0,37;4.487.488.883,79
BRQB3;0,00;;0,00;0,00;0,00;32,79;13,39;8,23;0,00;-0,85;-0,85;-0,56;0,00;0,00;0,00;2,06;40,38;15,32;26,03;0,38;0,62;1,86;3,80;47,08;;0,79;0,32;0,00;0,00
BRSR3;13,91;4,99;7,82;0,68;0,06;63,68;11,43;8,84;6,05;5,72;;;0,69;1,42;-0,07;2,34;8,72;0,79;;0,09;0,91;0,09;-5,25;-6,77;163.689,23;20,40;1,78;-0,18;5.382.970.521,07
BRSR5;18,11;5,20;10,18;0,89;0,08;63,68;11,43;8,84;7,88;5,72;;;0,90;1,85;-0,09;2,34;8,72;0,79;;0,09;0,91;0,09;-5,25;-6,77;36.574,00;20,40;1,78;-0,24;5.382.970.521,07
BRSR6;12,41;5,59;6,98;0,61;0,06;63,68;11,43;8,84;5,40;5,72;;;0,62;1,27;-0,06;2,34;8,72;0,79;;0,09;0,91;0,09;-5,25;-6,77;27.129.545,65;20,40;1,78;-0,16;5.382.970.521,07
BSEV3;9,32;;-15,17;-9,39;0,71;20,68;14,14;-6,03;6,47;10,61;4,14;;0,91;-1,48;-1,21;0,46;-61,90;-4,66;22,54;-0,08;1,07;0,77;7,69;;1.526.634,54;-0,99;-0,61;0,79;9.510.402.250,32
BSLI3;37,50;6,59;30,28;20,08;0,55;75,23;26,67;18,74;21,28;20,29;;;5,67;-2,71;-0,68;0,49;66,32;1,81;;0,03;0,97;0,10;4,45;28,11;161.772,20;1,87;1,24;3,89;12.984.203.750,00
BSLI4;29,90;9,09;24,14;16,01;0,44;75,23;26,67;18,74;16,97;20,29;;;4,52;-2,16;-0,54;0,49;66,32;1,81;;0,03;0,97;0,10;4,45;28,11;91.516,32;1,87;1,24;3,10;12.984.203.750,00
BTOW3;59,75;;-125,62;3,63;1,71;28,59;1,12;-2,34;262,49;244,57;-17,92;-0,25;2,94;4,61;-4,71;2,38;-2,89;-1,36;0,60;0,47;0,53;0,58;2,35;;278.560.251,00;16,48;-0,48;17,54;33.465.124.279,50
BTTL3;12,33;;11,53;7,05;1,18;18,69;6,52;3,50;6,19;7,26;1,07;1,22;0,40;18,81;-2,08;1,17;61,18;10,24;35,04;0,17;0,83;2,92;5,92;-24,36;148.828,85;1,75;1,07;0,18;183.230.803,44
BTTL4;11.091,73;;10.368,59;6.343,50;1.062,25;18,69;6,52;3,50;5.567,43;7,26;1,07;1,22;363,21;16.921,20;-1.868,37;1,17;61,18;10,24;35,04;0,17;0,83;2,92;5,92;-24,36;;1,75;1,07;160,97;183.230.803,44
CALI3;98,18;;18,80;11,06;0,29;18,39;12,73;6,47;9,55;12,74;6,31;7,31;1,22;0,97;-0,58;2,56;58,84;1,56;8,37;0,03;0,97;0,24;-7,97;-33,18;;8,87;5,22;-0,17;24.582.197,20
CALI4;50,00;;9,58;5,63;0,15;18,39;12,73;6,47;4,86;12,74;6,31;7,31;0,62;0,49;-0,30;2,56;58,84;1,56;8,37;0,03;0,97;0,24;-7,97;-33,18;9.554,00;8,87;5,22;-0,09;24.582.197,20
CAMB3;5,44;;15,05;2,33;0,83;44,54;7,73;10,53;20,52;25,97;5,45;0,62;1,59;-33,03;-1,29;0,93;15,47;5,54;1,58;0,36;0,64;0,53;-11,36;;740.879,58;2,34;0,36;-0,42;229.922.035,20
CAMB4;6,25;;17,29;2,67;0,96;44,54;7,73;10,53;23,57;25,97;5,45;0,62;1,82;-37,95;-1,48;0,93;15,47;5,54;1,58;0,36;0,64;0,53;-11,36;;;2,34;0,36;-0,48;229.922.035,20
CAML3;9,72;6,15;7,77;1,33;0,58;22,25;8,33;6,20;5,78;7,79;2,01;0,46;0,48;1,63;-1,52;2,38;17,08;7,50;10,80;0,44;0,56;1,21;12,04;33,10;16.248.706,96;7,32;1,25;0,15;3.596.400.000,00
CARD3;25,22;1,84;20,97;3,49;1,95;30,59;16,35;10,78;13,83;14,56;0,73;0,18;2,26;62,33;-2,74;1,12;16,63;9,32;13,18;0,56;0,44;0,86;-0,29;19,73;11.567.914,46;7,23;1,20;0,36;1.054.196.000,00
CASH3;37,22;0,10;239,73;13,16;12,48;22,71;22,71;15,66;165,22;153,60;-11,62;-0,93;37,53;14,03;-208,93;18,49;5,49;5,20;5,56;0,95;0,05;0,33;;;98.181.807,96;2,83;0,16;;4.705.836.260,00
CASN3;14,30;0,29;101,69;8,64;3,04;50,85;24,24;9,84;41,27;37,54;4,83;1,01;10,00;-155,14;-3,50;0,87;8,50;2,99;7,85;0,35;0,65;0,30;7,49;59,39;1.520,00;1,66;0,14;-16,95;9.067.999.874,79
CASN4;8,37;0,54;59,52;5,06;1,78;50,85;24,24;9,84;24,15;37,54;4,83;1,01;5,85;-90,80;-2,05;0,87;8,50;2,99;7,85;0,35;0,65;0,30;7,49;59,39;;1,66;0,14;-9,92;9.067.999.874,79
CATA3;103,61;;-2,13;0,12;0,06;17,94;-6,16;-5,09;-1,76;-4,90;-3,15;0,21;0,11;0,25;-0,12;2,22;-5,43;-3,00;-5,07;0,55;0,45;0,59;-4,76;;;897,16;-48,70;0,01;14.940.354,78
CATA4;0,00;;0,00;0,00;0,00;17,94;-6,16;-5,09;0,00;-4,90;-3,15;0,21;0,00;0,00;0,00;2,22;-5,43;-3,00;-5,07;0,55;0,45;0,59;-4,76;;;897,16;-48,70;0,00;14.940.354,78
CBEE3;23,45;;53,85;1,08;0,33;12,42;3,90;1,12;15,52;32,42;16,90;1,18;0,60;-5,30;-0,45;0,81;2,01;0,61;2,59;0,30;0,70;0,55;3,81;;252.012,00;21,62;0,44;-0,72;3.907.574.944,70
CCPR3;12,92;7,46;38,93;0,67;0,40;63,04;50,22;10,42;8,07;12,48;4,40;0,37;4,06;6,05;-0,45;2,57;1,72;1,03;4,79;0,60;0,40;0,10;4,82;19,63;5.658.189,65;19,26;0,33;0,72;1.972.166.229,40
CCRO3;13,26;2,07;140,21;3,37;0,80;34,64;20,58;1,93;13,16;19,89;6,73;1,73;2,71;53,16;-1,06;1,07;2,41;0,57;5,17;0,24;0,76;0,30;3,13;-35,76;176.848.054,54;3,93;0,09;-1,62;26.785.200.000,00
CCXC3;1,16;;0,33;-0,03;0,20;;;;-0,88;-0,87;0,01;;;-0,03;;0,13;-9,19;61,31;3,45;-6,67;7,68;0,00;;;;-38,15;3,51;0,00;1.973.425,64
CEAB3;12,78;;-23,68;1,48;0,54;46,42;-4,02;-4,07;-23,99;-22,17;1,81;-0,11;0,96;3,11;-1,04;1,56;-6,27;-2,28;-6,56;0,36;0,64;0,56;;;33.833.510,85;8,61;-0,54;0,00;3.939.371.969,04
CEBR3;189,98;20,30;6,33;3,04;0,71;48,92;51,47;169,54;20,85;21,25;-0,32;-0,05;10,73;5,79;-5,31;1,17;48,02;11,28;10,73;0,23;0,77;0,07;-36,10;56,67;840.935,92;62,49;30,01;0,02;2.832.987.751,44
CEBR5;210,00;19,44;7,00;3,36;0,79;48,92;51,47;169,54;23,05;21,25;-0,32;-0,05;11,86;6,39;-5,87;1,17;48,02;11,28;10,73;0,23;0,77;0,07;-36,10;56,67;89.281,13;62,49;30,01;0,03;2.832.987.751,44
CEBR6;203,00;20,90;6,76;3,25;0,76;48,92;51,47;169,54;22,28;21,25;-0,32;-0,05;11,47;6,18;-5,67;1,17;48,02;11,28;10,73;0,23;0,77;0,07;-36,10;56,67;373.189,48;62,49;30,01;0,03;2.832.987.751,44
CEDO3;10,44;;-2,52;0,70;0,15;16,76;0,18;-6,71;91,66;249,00;170,12;1,30;0,17;-8,48;-0,27;0,96;-27,87;-6,02;0,15;0,22;0,78;0,90;9,31;;49.056,00;14,89;-4,15;-0,02;89.847.082,56
CEDO4;7,05;;-1,70;0,47;0,10;16,76;0,18;-6,71;61,90;249,00;170,12;1,30;0,11;-5,73;-0,18;0,96;-27,87;-6,02;0,15;0,22;0,78;0,90;9,31;;312.522,81;14,89;-4,15;-0,01;89.847.082,56
CEEB3;40,99;2,58;8,38;1,67;0,49;22,41;16,01;10,78;5,65;11,14;4,36;1,29;0,90;7,93;-0,62;1,41;19,96;5,82;10,55;0,29;0,71;0,54;10,93;29,39;122.587,05;24,51;4,89;0,38;12.911.157.637,95
CEEB5;44,17;2,39;9,03;1,80;0,53;22,41;16,01;10,78;6,08;11,14;4,36;1,29;0,97;8,54;-0,67;1,41;19,96;5,82;10,55;0,29;0,71;0,54;10,93;29,39;7.117,00;24,51;4,89;0,41;12.911.157.637,95
CEEB6;60,68;1,92;12,40;2,48;0,72;22,41;16,01;10,78;8,36;11,14;4,36;1,29;1,34;11,74;-0,91;1,41;19,96;5,82;10,55;0,29;0,71;0,54;10,93;29,39;;24,51;4,89;0,57;12.911.157.637,95
CEED3;58,98;;-0,35;-0,10;0,14;-1,71;-19,46;-46,18;-0,83;-2,19;-1,36;;0,16;-0,53;-0,20;0,51;-28,26;-40,42;14,65;-1,43;2,43;0,88;-0,25;;50.196,64;-593,23;-167,64;-0,01;570.209.374,12
CEED4;54,34;;-0,32;-0,09;0,13;-1,71;-19,46;-46,18;-0,77;-2,19;-1,36;;0,15;-0,49;-0,18;0,51;-28,26;-40,42;14,65;-1,43;2,43;0,88;-0,25;;11.785,00;-593,23;-167,64;-0,01;570.209.374,12
CEGR3;60,10;2,26;44,32;13,07;4,57;32,84;19,21;11,05;25,51;26,93;1,42;0,73;4,90;-74,61;-6,01;0,80;29,48;10,32;18,65;0,35;0,65;0,93;-3,10;4,36;31.096,00;4,60;1,36;-7,93;15.604.227.693,20
CEPE3;125,67;2,77;33,70;5,23;0,84;16,03;8,41;3,88;15,57;22,48;8,28;2,78;1,31;16,74;-1,08;1,29;15,52;2,48;7,23;0,16;0,84;0,64;8,76;62,59;92.909,67;24,02;3,73;0,64;8.548.311.499,31
CEPE5;26,00;13,40;6,97;1,08;0,17;16,03;8,41;3,88;3,22;22,48;8,28;2,78;0,27;3,46;-0,22;1,29;15,52;2,48;7,23;0,16;0,84;0,64;8,76;62,59;54.199,65;24,02;3,73;0,13;8.548.311.499,31
CEPE6;28,45;13,47;7,63;1,18;0,19;16,03;8,41;3,88;3,52;22,48;8,28;2,78;0,30;3,79;-0,24;1,29;15,52;2,48;7,23;0,16;0,84;0,64;8,76;62,59;19.875,46;24,02;3,73;0,14;8.548.311.499,31
CESP3;28,25;9,19;5,17;1,31;0,64;34,03;47,26;88,93;9,72;10,02;1,03;0,14;4,59;1.149,03;-0,70;1,01;25,40;12,31;-5,64;0,48;0,52;0,14;-8,26;;425.979,88;21,53;5,47;0,17;8.553.278.921,85
